False	Thus, the ability of pVHL to degrade Hif1 alpha depends in part on its interaction with  <e1> TBP-1 </e1>  and suggests a new mechanism for Hif1 alpha stabilization in some  <e2> pVHL </e2> -deficient tumors
True	Physical association of  <e1> beta 2 integrin </e1>  with  <e2> GPI-80 </e2> , a novel glycosylphosphatidylinositol-anchored protein with potential for regulating adhesion and migration
False	Here, we characterize the interaction between  <e1> Plk1 </e1>  and NudC, show that Plk1 phosphorylates NudC at conserved S274 and S326 residues in vitro, and present evidence that  <e2> NudC </e2>  is also a substrate for Plk1 in vivo
True	 <e1> Pinin </e1> /DRS/memA interacts with  <e2> SRp75 </e2> , SRm300 and SRrp130 in corneal epithelial cells
False	In addition, electron microscopy experiments revealed that  <e1> CB1 </e1>  and  <e2> OX1R </e2>  are closely apposed at the plasma membrane level; they are close enough to form hetero-oligomers
False	The fact that the  <e1> apoB </e1>  mRNA editing protein also exists as a  <e2> homodimer </e2>  has important implications for the mechanism of apoB mRNA editing in humans
False	Downregulation of NudC by RNA interference results in multiple mitotic defects, including multinucleation and cells arrested at the midbody stage, which are rescued by ectopic expression of wild-type NudC, but not by  <e1> NudC </e1>  with mutations in the  <e2> Plk1 </e2>  phosphorylation sites
False	 <e1> SRcyp </e1>  is a nuclear protein with a characteristic distribution in large irregularly shaped nuclear speckles and co-localizes perfectly with the SR domain-containing  <e2> splicing factor SC35 </e2> 
False	A pVHL mutant containing a P154L substitution coimmunoprecipitates with Hif1 alpha, but not  <e1> TBP-1 </e1> , and does not promote degradation of  <e2> Hif1 alpha </e2> 
True	Subsequent amino acid sequencing revealed many peptides involving  <e1> involucrin </e1>  cross-linked either to itself or to a variety of other known CE protein components, including cystatin alpha, desmoplakin, elafin, keratins, members of the small proline-rich superfamily,  <e2> loricrin </e2> , and unknown proteins related to the desmoplakin family
False	Subsequent amino acid sequencing revealed many peptides involving involucrin cross-linked either to itself or to a variety of other known CE protein components, including  <e1> cystatin alpha </e1> ,  <e2> desmoplakin </e2> , elafin, keratins, members of the small proline-rich superfamily, loricrin, and unknown proteins related to the desmoplakin family
False	Characterization of EC and  <e1> SMC </e1>  PGs bound to A beta (1-28) revealed strong binding by perlecan, weak binding by  <e2> decorin </e2>  and biglycan, two dermatan sulfate proteoglycans, and lack of binding by versican/PG-M, a large chondroitin sulfate proteoglycan
True	Data also has been obtained that Gadd45b and Gadd45g, as well as  <e1> GADD45a </e1> , interact with both  <e2> Cdk1 </e2>  and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex
False	Differential binding of vascular cell-derived proteoglycans (perlecan,  <e1> biglycan </e1> ,  <e2> decorin </e2> , and versican) to the beta-amyloid protein of Alzheimer's disease
True	Complexes of either  <e1> CD22 </e1> / <e2> PTP-1C </e2> /Syk/PLC-gamma(1) could be isolated from B cells stimulated by BCR engagement or a mixture of hydrogen peroxidase and sodium orthovanadate, respectively
False	Characterization of EC and SMC PGs bound to A beta (1-28) revealed strong binding by perlecan, weak binding by decorin and  <e1> biglycan </e1> , two dermatan sulfate proteoglycans, and lack of binding by  <e2> versican </e2> /PG-M, a large chondroitin sulfate proteoglycan
True	Yet, whether  <e1> Gadd45b </e1>  and/or Gadd45g function as inhibitors of  <e2> cdc2 </e2> /cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established
False	We report that MSH2 (MutS homolog 2) protein interacts with the ATR (ATM- and Rad3-related) kinase to form a signaling module and regulate the phosphorylation of  <e1> Chk1 </e1>  and  <e2> SMC1 </e2>  (structure maintenance of chromosome 1)
False	In the present investigation, the differential binding of previously characterized endothelial cell (EC)- and smooth muscle cell (SMC)-derived  <e1> PGs </e1>  to A beta was examined to determine whether the accumulation of A beta in cerebrovascular amyloid deposits may be due to its interactions with  <e2> perlecan </e2> 
True	 <e1> TR2 </e1>  orphan receptor functions as negative modulator for  <e2> androgen receptor </e2>  in prostate cancer cells PC-3
